video_id,trending_date,title,channel_title,views,likes,dislikes,publish_time,category_id,tags,comments,channel_id,description
YfiJDJKt3fE,26.26.02,BLACKHOLE,IVE - Topic,943144,7248,0,2026-02-23T09:04:27Z,10,IVE|IVE (아이브)|Jaeheon Lee|Ido Nadjar|Sophie Rose|Sarah Troy|Kristin Carpenter|MLITE|Jieum Seo|Hwang Yubin (XYXX)|REVIVE+|BLACKHOLE,199,UC_4Y1QqJr60C5Z7-eQWy-mw,"Provided to YouTube by Kakao Entertainment  BLACKHOLE · IVE · Jaeheon Lee · Ido Nadjar · Jaeheon Lee · Ido Nadjar · Jaeheon Lee · Sophie Rose · Sarah Troy · Kristin Carpenter · Ido Nadjar · MLITE · Jieum Seo · Hwang Yubin (XYXX)  REVIVE+  ℗ 2026 STARSHIP Entertainment,under license to kakao Entertainment  Released on: 2026-02-23  Lyricist: Jieum Seo Lyricist: Hwang Yubin (XYXX) Composer: Jaeheon Lee Composer: Sophie Rose Composer: Sarah Troy Composer: Kristin Carpenter Composer: Ido Nadjar Composer: MLITE Arranger: Jaeheon Lee Arranger: Ido Nadjar  Auto-generated by YouTube."
w09RpSumTX8,26.26.02,BTS WORLD TOUR 'ARIRANG' LIVE VIEWING IN GOYANG & JAPAN Main Trailer,BANGTANTV,557258,147246,0,2026-02-25T13:00:03Z,10,방탄소년단|BTS|BANGTAN|알엠|RM|슈가|SUGA|제이홉|jhope|지민|정국|k-pop|방탄|j-hope|Jung Kook|Jimin|BTS V|Jin,8463,UCLkAepWjdylmXSltofFvsYQ,Experience the first two stops of the BTS WORLD TOUR 'ARIRANG' live in cinemas worldwide.  More live viewings coming soon.   📅 LIVE VIEWING from GOYANG: Apr.11 📅 LIVE VIEWING from TOKYO: Apr.18 🎟️ Get tickets at http://btsliveviewing.com   #BTS #방탄소년단 #BTS_WORLDTOUR_ARIRANG #BTS_WORLDTOUR_ARIRANG_LIVEVIEWING    Connect with BTS: https://ibighit.com/bts https://x.com/bts_bighit https://x.com/BTS_twt http://www.facebook.com/bangtan.official https://www.youtube.com/user/BANGTANTV http://instagram.com/BTS.bighitofficial https://www.tiktok.com/@bts_official_bighit https://weverse.onelink.me/qt3S/94808190 https://www.weibo.com/BTSbighit
66z5V7R9_7c,26.26.02,[ 불도그 LIVE 생방송 2/26 ] 리니지 8셋등장? 9셋가야하나 고민중,불도그,192081,2384,0,2026-02-26T13:10:06Z,20,holdem|불도그|홀덤|리니지m|게임|모바일게임|리니지,42,UCBjPppB6FOLloYBUvgbqE_A,확률형 아이템 포함 광고문의 : coo@futuresenter.com 불도그 카톡 : bulldog22  ▶투네이션 후원 https://toon.at/donate/bulldog22
1Lmy7qwmSMc,26.26.02,IVE 아이브 'BLACKHOLE' MV,STARSHIP,5579522,258387,0,2026-02-23T09:00:12Z,10,[none],16945,UCYDmx2Sfpnaxg488yBpZIGg,STARSHIP SQUARE (Domestic) : https://bit.ly/3HtQ7GF STARSHIP SQUARE (Global) : https://bit.ly/4i5Dl1g IVE US EXCLUSIVE STORE : https://shop.ive-starship.com/    IVE X (Twitter) : https://twitter.com/IVEstarship : https://twitter.com/IVE_twt : https://twitter.com/IVEstarship_JP IVE Instagram : https://instagram.com/IVEstarship IVE Facebook: https://fb.me/IVEstarship  IVE Berriz: https://berriz.in/ko/IVE IVE TikTok: https://www.tiktok.com/@ive.official IVE Weibo: https://weibo.com/ivestarship  #IVE #아이브 #アイヴ
qsOs15i8NqQ,26.26.02,죽지도 않고 또 돌아온 우디.. ≪토이스토리5≫ 메인 예고편 총정리 리뷰,무비띵크_Movie Think,21180,590,0,2026-02-26T07:27:16Z,1,영화리뷰|영화추천|무비띵크|마블|마블영화|마블유튜브|마블유튜버|마블띵크|디즈니플러스|MCU|떴냐|루머띵크|디즈니 마블|마블 디즈니|토이스토리5|토이스토리|토이스토리 후속작|토이스토리 우디|토이스토리 버즈|토이스토리 탈모|토이스토리5 줄거리|토이스토리5 총정리,135,UCKBzr20577Xcn0LJoRVES_A,#토이스토리5 #토이스토리 #무비띵크 🎬 죽지도 않고 또 돌아온 우디 ≪토이스토리5≫ 메인 예고편 총정리 리뷰  00:00 인트로 00:23 공식 예고편 분석 08:22 관전 포인트/비하인드 09:58 토이스토리 5 2026년 6월 대개봉 10:28 아웃트로  ✅ 비즈니스 문의 hongzuna@naver.com
AV4Ls6cV9as,26.26.02,2/25녹) 리니지클래식 사또 데포로쥬 우주최초 10크로도전,스트리머 사또 live-streamer satto,282560,2731,0,2026-02-25T22:24:29Z,20,리니지m|리니지2m|비트코인|코인|도지코인|이더리움|리플|이오스|오딘|똘끼|박호두|불도그|인범|용느|주식|리니지w|승냥이|리니지클래식|클래식|리니지,73,UCnXe6v0-5vmMMRU2qx0XwUw,"투네이션 후원: https://toon.at/donate/636441952388418116  ▶사또추천 글로벌 최상급 혜택 레퍼럴 거래소 가입 및 이벤트 모음 (OKX개인대회 및 이벤트 클릭) :  https://linktr.ee/satto22  ▶세계 2위 비트코인 현물+선물 거래소 'OKX'에서 거래하기 레퍼럴 링크(수수료 페이백20%):https://www.okx.com/join/ST18029  ▶OKX ▶페이백은 1시간마다 자동으로 20%식 자동 정산됩니다.  ▶추천 코드 입력란이 뜬다면? →  ▶OKX = ST18029  ▶OKX 초보자 가이드 영상:https://www.youtube.com/watch?v=lAzCaBFzRt8  ▶OKX 2월 개인대회:https://www.okx.com/campaigns/affiliate-s-trading-campaign-feb-2026?channelid=st18029   최소 입금액 : 300USDT  최소 거래량 : 200,000USDT   첫거래&첫입금 : 20USDT (*24시간 이후 지급) TOP 20 추가 즉시 최대 1,000USDT 페이백 이벤트  -10M 거래량 달성시 200USDT -50M 거래량 달성시 300USDT -100M 거래량 달성시 500USDT  OKX 래퍼럴 코드 사또로 변경하기 문의:https://open.kakao.com/o/s5xwxvUe  변경조건 =가입한지 30일 이후 100.000usdt거래량 미만                    가입한지 90일 이후 1,000,000usdt거래량 미만 유저  사또 래퍼럴 코드 변경시= 평생 페이백20% + 개인대회 참가 가능합니다.   kakaoTalk : satto2 [광고문의 카톡] Instagram: SANGHYEOK22 mail : qjffpdhkd@naver.com twitter: live_satto  사또 멤버쉽 가입하기 https://www.youtube.com/channel/UCnXe...  #비트코인 #리니지클래식 #로드나인 #해외선물 #주식 #리플 #이더리움 #리니지m #리니지 #  본 유튜브 채널에서 제공하는 모든 콘텐츠는 시청자의 정보 이해 및 학습을 돕기 위한 참고 자료일 뿐이며, 아래 사항을 명확히 고지합니다.   투자 권유 아님: 본 채널의 어떠한 내용도 특정 가상자산 또는 투자 상품에 대한 매수·매도 추천, 투자 자문 또는 권유에 해당하지 않습니다. 모든 영상은 정보 제공을 목적으로 제작되었습니다.  투자의 책임: 가상자산 투자는 원금 손실의 위험이 매우 높은 고위험 투자입니다. 모든 투자 결정과 그에 따른 결과(수익 및 손실)에 대한 최종적인 책임은 전적으로 투자자 본인에게 있습니다. 본 채널의 정보로 인해 발생한 어떠한 손실에 대해서도 채널 운영자는 책임을 지지 않습니다.  법적·규제적 리스크 고지: 대한민국 법률상 미신고 해외 가상자산 거래소를 이용하는 행위는 특정금융정보법 등 관련 법규에 따라 법적 제재의 대상이 될 수 있는 리스크를 포함하고 있습니다. 관련 법률 및 규제는 언제든지 변경될 수 있으므로, 시청자께서는 본인의 책임 하에 충분한 법률 검토 후 이용 여부를 판단하시기 바랍니다.  정보의 한계: 본 채널에서 제공하는 정보는 제작 시점의 자료를 바탕으로 하며, 그 정확성, 완전성, 최신성을 보장하지 않습니다. 정보의 오류나 누락이 있을 수 있으므로, 이를 절대적인 투자 판단의 근거로 삼아서는 안 됩니다."
VF5KiYpH-Pg,26.26.02,TIC TIC (feat. Pabllo Vittar),NMIXX - Topic,119011,9375,0,2026-02-26T03:04:43Z,10,NMIXX|Pabllo Vittar|TIC TIC,458,UC_Cx288SDUD9liYn7CiJLAA,Provided to YouTube by JYP Entertainment Corporation  TIC TIC (feat. Pabllo Vittar) · NMIXX · Pabllo Vittar  TIC TIC  ℗ JYP Entertainment  Released on: 2026-02-26  Lyricist: LILY Lyricist: bibi Lyricist: Number Teddie Lyricist: Pabllo Vittar Composer: ESUM Composer: bibi Arranger: ESUM  Auto-generated by YouTube.
vNtrqDqh4qA,26.26.02,슬슬 가지러 가볼까,괴물쥐 유튜브,440178,2629,0,2026-02-25T13:01:44Z,20,#리그오브레전드|#롤|#괴물쥐|#원딜|#장지환|전략적팀전투|tft,454,UCDBAVzfX3yZ1hah0FHnOoaA,▷치지직 생방송 - https://naver.me/IFIAjKrC ▶MONSRAT굿즈 - https://www.charonstore.com/ ▷괴물쥐 공식 카페 - https://cafe.naver.com/tmxk9999
lju9zsUAHTs,26.26.02,[풀버전M/V] 순순희(지환) - 눈을 감아도(2026),순순희,59080,1472,0,2026-02-25T09:01:11Z,10,순순희|발라드추천|노래추천|부산예술대학,73,UCxVJ3rXFKib5atFxUMc35fw,"순순희(지환) – 눈을 감아도 (2026)  노래방 좀 다녀봤다면 한 번쯤 불러봤을 명곡,  순순희(지환)의 호소력 짙은 목소리로 풀어 낸[눈을 감아도]  도입은 조심스럽게 시작하지만, 결국 후렴에서 감정이 터지는 정통 발라드 전개. 어떤 이는 이 노래로 이별을 끝냈고, 또 다른 이는 이 노래로 사랑을 이어갔다. 화려하지 않지만 오래 남아, 평범한 밤을 한 편의 장면으로 바꿔주는 멜로디로 많은 대중들에게 더욱 더 사랑을 받기를 원한다.  편곡에는 '순순희'의 데뷔곡 [참 많이 사랑했다]를 작업했던 가수 겸 프로듀서 '피아노맨'이 참여하였다.   [Credit]  Composed by 성유빈 Lyrics by 성유빈 Arranged by 김기태, 피아노맨  Piano by 김세정 Drum by 김세정 String by 김세정 E.Guitar by 권한얼 A.Guitar by 권한얼 Bass by 안요한  Mixed by 진대호 @Whaledone._.labs Mastered by 진대호 @Whaledone._.labs  Vocal Director 순순희(기태) A&R 방준범  Executive Producer : 조망E&M, 비에스(BS)"
ceDXOxvvY3A,26.26.02,바텀을 매번 이겨준다고,랄로,798669,5757,0,2026-02-24T11:33:27Z,20,랄로|랄튜브|김찬호,812,UCD2YO_A_PVMgMDN9jpRrpVA,랄로 풀코스 youtube.com/@랄롱 치지직 생방송 https://naver.me/FWf4gAUW 각종 비지니스 aba060847@gmail.com
S1IkEoKyODE,26.26.02,Always,Parc Jae Jung - Topic,48549,1774,0,2026-02-25T09:00:00Z,10,Parc Jae Jung|박재정|SULLYOON (NMIXX)|설윤 (NMIXX)|Park Hyun Joong|Mr.Black|Always|지금 이대로만,0,UCo7NRqhdPwDmdv1rwH5gJPg,"Provided to YouTube by Kakao Entertainment  Always · Parc Jae Jung · SULLYOON (NMIXX) · Park Hyun Joong · Mr.Black · Parc Jae Jung · Park Hyun Joong · Parc Jae Jung  Always  ℗ 2026 Romantic Factory, JYP Entertainment,under license to kakao Entertainment  Released on: 2026-02-25  Lyricist: 박재정 Composer: 박재정 Composer: 박현중 Arranger: 박현중 Arranger: Mr.Black  Auto-generated by YouTube."
nDbSs1_Ivao,26.26.02,뉴비인 척하고 운영자 능력으로 악질 유저 참교육해 보기ㅋㅋ [쓰나미 브레인롯],로트키,154340,2498,0,2026-02-25T23:01:06Z,20,로트키|로블록스|브레인롯 훔치기|99일밤,219,UCxyH4YNL9pnFZwnDXiZ3DrA,*로트키 채널의 대부분의 영상은 연출이 포함되어 있습니다!*
McynaplE44Q,26.26.02,Bloom hour,WJSN - Topic,73702,1922,0,2026-02-25T09:00:27Z,10,WJSN|우주소녀|KKannu|The All Jeans|Alawn|EXY|BiGGType|LaVit|ELLUII|CALi|the loop|Mingu Kim|Sunghyuk Choi|Hyomin Lee|HJ|Bloom hour,54,UC2BvuqXOqNhRmmcRAJ_l3Pg,"Provided to YouTube by Kakao Entertainment  Bloom hour · WJSN · KKannu · The All Jeans · Alawn · KKannu · The All Jeans · Alawn · EXY · BiGGType · KKannu · LaVit · ELLUII · CALi · The All Jeans · the loop · Mingu Kim · Sunghyuk Choi · Hyomin Lee · HJ · EXY  Bloom hour  ℗ 2026 STARSHIP Entertainment,under license to Kakao Entertainment  Released on: 2026-02-25  Auto-generated by YouTube."
WiHGQruZay0,26.26.02,평생 잊지 못할 추억 만들기,주키니TV,258880,15400,0,2026-02-25T12:29:08Z,20,배그|배틀그라운드|주키니|PUBG|pubg|배그 사연|배그 커스텀|도시파파|쥬키니|배그 위암,1757,UCZ-UuK86Bk5sGzQQ2cEglJQ,"재밌게 시청하셨다면 '구독' 과 '좋아요' 부탁드릴게요!  ∞치지직 방송 - https://chzzk.naver.com/a07f0b18426abd609b4a8916c85546c1 ∞주키니 카페- https://cafe.naver.com/12zucchini ∞인스타그램 - https://www.instagram.com/12zucchini ∞문의 - zucchinitv@sandboxnetwork.net ∞편집 - 팔색조  이 콘텐츠는 인공지능 가상 연기자 서비스, 타입캐스트를 활용하여 제작되었습니다. 출연진: (김건) https://typecast.ai/kr  'Image by いらすとや' 일러스트야 그림을 사용하였습니다. https://www.irasutoya.com/"
