views,likes,
165496,9223,
90535,7847,
2058940,79166,
164264,27710,
86016,5731,
1804337,87876,
113362,1148,
43655,5483,
101604,4267,
27457,7087,
564009,147927,
308706,8165,
12830,321,
53827,3207,
63093,18015,
84266,4400,
50917,6422,
455643,37817,
6574,111,
9099,772,
91214,1425,
12598,704,
14721,1957,
47034,15109,
16977,828,
183210,9283,
41155,13627,
4010,962,
32572,4953,
325284,12303,
401955,1367,
347996,14266,
207919,8859,
36646,2729,
135169,11852,
6780,52,
398823,74179,
6923,1539,
28792,9347,
134644,957,
43436,1817,
8586,144,
160586,2917,
297535,1524,
124597,3117,
35595,124,
177336,8553,
22055,1413,
73205,5339,
33891,179,
26897,0,
58612,1887,
101342,4899,
85177,788,
21086,4812,
6109,100,
15169,3866,
1065,23,
27598,7802,
14867,494,
104691,14081,
453875,4181,
89963,1912,
11923,151,
5941,71,
87047,1051,
135340,2328,
33827,364,
122501,3046,
55633,1751,
98425,3660,
12429,208,
10006,537,
27909,0,
45271,1117,
30757,2691,
123593,9880,
23185,369,
61042,5329,
109035,736,
33342,550,
2065,83,
5954,133,
75344,5919,
14530,752,
29239,642,
61827,3008,
41223,848,
35166,317,
13482,280,
86322,5658,
81514,11119,
56240,1235,
60405,2757,
92992,8905,
70801,1726,
42974,1241,
22470,596,
72459,1070,
114094,7958,
116412,7814,
82712,3507,
60758,4122,
13344,219,
72729,2165,
6248,52,
99050,4124,
87424,1551,
96914,1841,
142704,17437,
10143,264,
48839,962,
36526,994,
6191,455,
201381,16708,
54995,700,
33532,847,
10373,1800,
68624,6756,
64636,2678,
6256,511,
12188,309,
81781,9607,
10029,302,
33164,2650,
23831,785,
58077,2132,
45537,882,
45849,1669,
131191,2666,
7304,2502,
7124,1310,
33754,3070,
46656,5039,
32007,4935,
7818,1920,
48475,276,
43968,4171,
978147,17645,
38832,3057,
22575,774,
62704,4874,
33589,587,
5494,1085,
58664,2137,
168610,3804,
322367,2761,
72400,7388,
7514,2194,
7746,1239,
6038,762,
37591,1075,
25929,346,
93915,1860,
435595,21044,
37160,179,
7238,1750,
23851,3178,
73919,583,
14901,1157,
94275,5282,
39068,1574,
41993,7390,
32994,3968,
36266,1974,
17356,1094,
206810,9265,
14269,314,
4437,1255,
41187,4516,
14058,114,
270540,19832,
19424,1031,
27315,3189,
16754,667,
58637,7737,
239336,8659,
2953,78,
18159,601,
8238,1117,
42031,2759,
68976,2655,
106204,1988,
18600,1272,
179577,3191,
14546,149,
15381,706,
39295,2846,
33318,710,
27343,2370,
3516,383,
52183,6682,
16856,747,
15229,174,
19586,751,
74753,1308,
33140,1978,
3498,116,
38863,718,
35121,1591,
4440852,528990,
7520198,170112,
1091744,20516,
3050661,70225,
19921896,0,
74152373,758011,
1881997,147249,
1927688,167635,
1620706,98977,
2536736,54850,
3647592,132434,
863581,59966,
4210584,139313,
2114456,124753,
1445135,37711,
3366564,164638,
2457082,218929,
4772353,208055,
1044506,17030,
1158495,20157,
1063359,56157,
1091403,58826,
1208639,36524,
7780633,0,
1037242,102023,
2032140,35404,
2037391,22330,
1892279,149771,
518553,7824,
908825,15724,
818399,121018,
1940783,34273,
4622166,0,
1809294,105310,
2414718,155354,
1268406,64388,
1447541,53612,
1684179,34067,
1494276,30145,
1097732,54347,
1172049,57148,
1045354,124219,
2404617,239220,
1569798,97639,
1400420,71206,
730855,10516,
785531,12415,
2000705,32085,
3467683,124874,
624488,31090,
494514,10611,
641842,15240,
1211458,32266,
995819,22870,
804402,26394,
746472,12968,
4922822,352944,
835480,12626,
512273,63389,
72336204,860738,
562859,59400,
1846279,94794,
632788,52850,
1121535,20768,
876496,44134,
3175602,72174,
45200574,402907,
2893342,36561,
724004,16950,
4572344,70353,
1793806,179354,
854429,18006,
680591,27214,
1139031,65168,
2153343,86580,
781499,15139,
508653,51839,
492233,29149,
444897,10189,
1109706,53591,
649238,8527,
4809524,297457,
474256,10499,
1661299,40726,
673857,54749,
1028487,74346,
647287,38538,
670033,28089,
1148151,45725,
1676864,87231,
867321,47903,
847994,53700,
22676682,404077,
4424327,398610,
14368797,207754,
6597585,80603,
309390,36829,
398189,10108,
679402,69002,
395398,35952,
572183,9214,
391356,14723,
1224428,27548,
4925701,133879,
393774,25560,
1364510,95428,
636626,7248,
980248,31134,
317515,33393,
487730,9713,
1777790,53902,
5207424,127471,
388030,14397,
479259,27815,
1263592,43422,
1040844,55386,
2605955,101678,
12955076,307586,
991370,14798,
911666,2613,
1274944,94225,
19762099,381279,
972422,16133,
815234,53851,
335918,48322,
1043689,64795,
525524,90862,
2013621,109845,
353642,11637,
327559,7470,
776442,58830,
561721,14206,
527848,49930,
1491078,133098,
683048,28052,
412357,9768,
810674,32247,
1771688,121250,
2634248,74257,
660217,25591,
267710,11044,
547121,36826,
5579916,123411,
793461,17644,
500764,64065,
603356,71222,
2021186,62751,
1876532,69820,
1308253,23121,
6080755,70233,
1259872,45809,
1020992,14804,
1315871,51697,
288419,9296,
954377,72513,
720562,52896,
368950,35564,
308407,23746,
7568286,0,
1516401,74308,
589320,22097,
369058,32116,
203139,17357,
658441,85945,
1199990,104859,
720248,48857,
1042333,66775,
1086361,99026,
311047,27827,
1127052,49072,
651006,61049,
1282693,35350,
1199400,29981,
1849864,54912,
1013225,18637,
363149,18326,
1939070,102903,
455671,6355,
447003,9122,
311455,7090,
506672,10138,
247214,32166,
199986,9369,
399486,39318,
1481351,36274,
429491,9230,
364471,17782,
235974,24581,
3040891,46109,
556844,20385,
375801,37459,
281997,20334,
412322,48964,
839148,36811,
1028934,30227,
750601,0,
559894,7954,
846248,64796,
903379,90014,
3633302,288505,
4120252,53773,
574350,878,
2357070,24388,
500690,45635,
668615,19285,
394435,2804,
7373237,66166,
1920923,18426,
1328256,11592,
3208637,32973,
320004,4296,
1387496,28953,
2234727,19381,
245458,3247,
160358,5159,
262283,7107,
244058,3586,
2230061,32538,
333976,4173,
489574,2863,
187367,7901,
1166072,11290,
163738,5042,
317349,2582,
255062,4449,
805156,1751,
210398,12459,
5591566,228921,
1610901,93548,
2069657,48654,
2793612,106884,
4176082,221151,
2054959,97959,
1676338,44320,
4769327,211720,
4254199,215080,
1561730,41021,
1781850,19129,
1994765,67878,
1707606,82981,
1225756,45769,
895551,11005,
2942844,125013,
1034319,48660,
4495343,288841,
486860,20787,
1584132,29798,
25705936,564302,
35333029,192709,
1258981,43019,
1003765,25899,
1403886,44870,
2684309,46738,
875113,65436,
3353123,254108,
708514,23102,
813380,62606,
2260831,0,
960783,45487,
1377220,24881,
496961,58140,
2562551,70708,
14352144,166766,
731777,7700,
56313513,0,
1200719,100538,
1572740,91055,
1396192,79942,
693978,16002,
449275,7512,
4132429,234392,
339927,5067,
1817175,155658,
1470767,29569,
39397805,784135,
1693487,0,
504761,16795,
2291963,111285,
1645162,53503,
1037956,48277,
2845876,94884,
861734,72472,
305516,6261,
542561,27596,
1843200,181833,
2057545,58341,
887036,27259,
281310,0,
894189,45397,
899853,41986,
1496580,57950,
3039868,268863,
786555,9494,
845213,13463,
5058261,96109,
2991561,118052,
621920,46602,
962345,35636,
721828,29067,
16448078,468836,
352249,16957,
454722,10198,
1148450,18438,
873856,8413,
644108,13811,
438493,0,
904623,20770,
52417450,546366,
5221802,110534,
1580230,41132,
30617299,722190,
517318,8143,
603941,7994,
1385770,122881,
313262,17922,
556642,65747,
1418089,93834,
1319336,78480,
9540581,134067,
918783,10286,
418189,7781,
1013542,25490,
1241523,63034,
431509,14899,
481536,35990,
447247,32141,
1392883,19631,
790122,53664,
835796,27620,
811664,38577,
787880,38768,
282914,11606,
2361547,63676,
1197572,68116,
412551,20580,
14979292,398008,
803762,8923,
7181715,157565,
1291918,24364,
969053,16475,
330420,13552,
10431847,229507,
439513,15286,
434886,34777,
400572,18481,
518201,4873,
594581,96662,
663952,34111,
1609930,43262,
1750919,96337,
29430332,843116,
934447,41255,
288359,5793,
530507,0,
493376,8150,
526639,14402,
11106709,119968,
822190,22912,
1510537,31943,
2094687,129691,
716923,42709,
552754,26478,
15305745,105434,
1124535,19674,
837431,38746,
481239,19612,
940166,47351,
222163,8463,
522110,15001,
692578,29348,
1605171,17983,
813489,62490,
963536,20078,
1097093,38651,
327217,25284,
372678,8189,
6331818,336646,
12663835,176716,
331582,16691,
41848379,370633,
947597,0,
278675,0,
467081,5465,
4121519,69652,
25016752,234713,
1002331,12404,
1080174,27060,
219781,3849,
376356,12760,
226806,4825,
11356904,162842,
849831,85602,
182004,0,
1046121,20762,
7125928,341145,
262770,19226,
182755,10101,
568895,10913,
281315,7679,
49732417,1597654,
217053,4879,
487925,10698,
912695,18469,
306945,11448,
341169,8503,
410727,22498,
2875369,62909,
395150,9205,
779244,26652,
9288592,93135,
5192337,59029,
954450,14225,
1452654,80205,
808253,84159,
4930785,147537,
3511002,62159,
441452,0,
365465,7923,
2951818,10504,
418061,25945,
2557901,107040,
340321,51296,
989688,28953,
14080628,495241,
5457155,119557,
944919,52419,
4298257,176430,
61172420,956363,
1671953,179986,
2032713,79106,
891542,23758,
1038416,0,
796378,64501,
2641486,0,
1938778,105619,
1455158,36996,
1627948,93859,
2160876,71506,
2296338,177549,
2150262,80973,
2569553,67510,
5453700,47554,
669749,29782,
1828755,113177,
1409673,52898,
774667,32332,
832593,12462,
340912,20290,
1217498,85437,
2373713,0,
616863,15697,
2179307,45662,
679589,14790,
38788030,1227331,
2191281,130601,
1039991,47944,
1655504,43774,
2281267,166000,
4659238,386364,
1805410,111012,
238204,10350,
1066607,55911,
286633,15062,
1305652,30074,
564323,24980,
1481146,79054,
613600,33060,
476763,13300,
1642378,31974,
652643,52756,
9825836,295218,
950067,40087,
500264,19269,
554492,12299,
893253,61616,
2129867,27229,
7225778,90858,
1473869,84231,
485819,14055,
752381,14344,
336851,12962,
2270349,175682,
1294179,59506,
1072782,22624,
331875,5703,
1282206,31827,
571294,27078,
856335,34218,
653019,28231,
291736,36671,
1249058,40222,
994754,76363,
2234131,96843,
304554,10793,
706145,45585,
496722,12974,
1129174,53368,
254222,15305,
289547,6729,
321228,17906,
905147,58291,
887209,36935,
735191,36710,
44228979,769828,
1128675,94510,
3785560,37703,
4941013,122491,
9540515,183385,
1316862,59971,
493267,24751,
923434,0,
3481003,71594,
157314,1698,
367592,19933,
230267,12260,
6013987,81637,
302878,24930,
6453278,51930,
661703,36355,
742700,17826,
1585474,59886,
620520,14104,
2314757,47460,
1263914,41252,
8112075,111571,
